M101,황민혜,개발팀,2023-8-10,4850000,300000,74640,0,231750,182567,46349,11845,73130,7209,5224640,552850,4671790
M102,임은신,기획팀,2023-8-10,2750000,50000,130620,0,126000,99260,25199,6440,39760,3919,2930620,300578,2630042
M104,박이성,기획팀,2023-8-10,2750000,50000,149280,0,126000,99260,25199,6440,39760,3919,2949280,300578,2648702
M106,박혜원,기획팀,2023-8-10,5150000,300000,111960,0,245250,193202,49049,12535,77390,7629,5561960,585055,4976905
M107,염다소,구매팀,2023-8-10,2850000,50000,111960,0,130500,102805,26099,6670,41180,4059,3011960,311313,2700647
M108,최현영,인사팀,2023-8-10,3600000,150000,130620,0,168750,132937,33749,8625,53250,5249,3880620,402560,3478060
M110,박찬나,구매팀,2023-8-10,5150000,300000,111960,0,245250,193202,49049,12535,77390,7629,5561960,585055,4976905
M111,최혜영,인사팀,2023-8-10,3700000,150000,111960,0,173250,136482,34649,8855,54670,5389,3961960,413295,3548665
M112,허다민,개발팀,2023-8-10,2200000,0,111960,0,99000,77990,19799,5060,31240,3079,2311960,236168,2075792
M113,최신나,구매팀,2023-8-10,3050000,100000,130620,0,141750,111667,28349,7245,44730,4409,3280620,338150,2942470
M114,염소민,개발팀,2023-8-10,3800000,150000,130620,0,177750,140027,35549,9085,56090,5529,4080620,424030,3656590
M115,황나혜,인사팀,2023-8-10,3350000,100000,111960,0,155250,122302,31049,7935,48990,4829,3561960,370355,3191605
M116,최은경,인사팀,2023-8-10,4300000,200000,111960,0,202500,159525,40499,10350,63900,6299,4611960,483073,4128887
M117,오성혜,기획팀,2023-8-10,2750000,50000,111960,0,126000,99260,25199,6440,39760,3919,2911960,300578,2611382
M119,황이소,개발팀,2023-8-10,4500000,200000,130620,0,211500,166615,42299,10810,66740,6579,4830620,504543,4326077
M120,임현은,재무팀,2023-8-10,3050000,100000,130620,0,141750,111667,28349,7245,44730,4409,3280620,338150,2942470
M121,허나빈,인사팀,2023-8-10,5050000,300000,130620,0,240750,189657,48149,12305,75970,7489,5480620,574320,4906300
M122,최빈나,구매팀,2023-8-10,2650000,50000,93300,0,121500,95715,24299,6210,38340,3779,2793300,289843,2503457
M123,이소신,영업팀,2023-8-10,2550000,50000,130620,0,117000,92170,23399,5980,36920,3639,2730620,279108,2451512
M124,차찬경,영업팀,2023-8-10,3600000,150000,149280,0,168750,132937,33749,8625,53250,5249,3899280,402560,3496720
M125,박재소,인사팀,2023-8-10,3350000,100000,130620,0,155250,122302,31049,7935,48990,4829,3580620,370355,3210265
M127,김우은,기획팀,2023-8-10,3250000,100000,93300,0,150750,118757,30149,7705,47570,4689,3443300,359620,3083680
M128,임연경,구매팀,2023-8-10,4400000,200000,111960,0,207000,163070,41399,10580,65320,6439,4711960,493808,4218152
M129,황영이,구매팀,2023-8-10,2400000,0,130620,0,108000,85080,21599,5520,34080,3359,2530620,257638,2272982
M130,김찬민,구매팀,2023-8-10,4850000,300000,130620,0,231750,182567,46349,11845,73130,7209,5280620,552850,4727770
M140,김회원,개발팀,2023-8-10,2650000,50000,130620,0,121500,95715,24299,6210,38340,3779,2830620,289843,2540777
M141,이모태,영업팀,2023-8-10,3250000,100000,55980,0,150750,118757,30149,7705,47570,4689,3405980,359620,3046360
